TRAVEL_ID,AGE_GRP,TRAVEL_COMPANIONS_NUM,TRAVEL_STATUS_ACCOMPANY,SLEEP,ACTIVITY,RESULT_MVMN,Cluster
e_e012554,20,1,2인 가족 여행,0,체험 활동 / 입장 및 관람,자가용,5
e_e008404,20,1,2인 여행(가족 외),0,쇼핑 / 구매,버스,5
e_e000830,30,2,자녀 동반 여행,0,체험 활동 / 입장 및 관람,자가용,6
e_e003348,30,1,2인 여행(가족 외),0,단순 구경 / 산책 / 걷기,지하철,0
e_e003259,20,0,나홀로 여행,0,쇼핑 / 구매,지하철,5
e_e001183,40,3,자녀 동반 여행,0,체험 활동 / 입장 및 관람,자가용,6
e_e000042,20,1,2인 여행(가족 외),0,단순 구경 / 산책 / 걷기,자가용,5
e_e009858,40,1,2인 여행(가족 외),0,단순 구경 / 산책 / 걷기,자가용,0
e_e003311,30,1,2인 가족 여행,1,체험 활동 / 입장 및 관람,자가용,0
e_e003618,30,1,2인 가족 여행,1,단순 구경 / 산책 / 걷기,버스,0
e_e004878,30,0,나홀로 여행,0,체험 활동 / 입장 및 관람,버스,0
e_e006153,30,2,자녀 동반 여행,1,체험 활동 / 입장 및 관람,자가용,6
e_e005804,30,0,나홀로 여행,0,쇼핑 / 구매,기차,0
e_e006221,30,3,3인 이상 여행(가족 외),1,단순 구경 / 산책 / 걷기,자가용,1
e_e010636,40,2,3인 이상 여행(가족 외),0,체험 활동 / 입장 및 관람,자가용,6
e_e003678,60,1,2인 가족 여행,0,단순 구경 / 산책 / 걷기,자가용,7
e_e001125,30,1,2인 가족 여행,3,쇼핑 / 구매,자가용,9
e_e006069,20,3,부모 동반 여행,1,휴식,자가용,1
e_e004506,20,3,부모 동반 여행,1,체험 활동 / 입장 및 관람,렌터카,1
e_e006849,60,1,2인 가족 여행,0,단순 구경 / 산책 / 걷기,자가용,7
e_e007137,40,1,2인 여행(가족 외),0,휴식,자가용,0
e_e000375,40,3,자녀 동반 여행,1,체험 활동 / 입장 및 관람,자가용,6
e_e000747,40,6,3인 이상 여행(가족 외),1,단순 구경 / 산책 / 걷기,자가용,2
e_e007860,60,1,2인 가족 여행,0,없음,버스,7
e_e006922,40,3,자녀 동반 여행,0,체험 활동 / 입장 및 관람,자가용,6
e_e009752,30,1,2인 여행(가족 외),0,단순 구경 / 산책 / 걷기,자가용,0
e_e012180,40,0,나홀로 여행,0,없음,지하철,0
e_e007883,20,1,2인 여행(가족 외),0,체험 활동 / 입장 및 관람,자가용,5
e_e000013,20,3,부모 동반 여행,1,쇼핑 / 구매,자가용,1
e_e004879,20,1,2인 여행(가족 외),2,단순 구경 / 산책 / 걷기,기차,9
e_e002130,20,1,2인 여행(가족 외),0,없음,지하철,5
e_e003412,60,1,2인 여행(가족 외),0,단순 구경 / 산책 / 걷기,지하철,7
e_e002255,40,2,자녀 동반 여행,1,체험 활동 / 입장 및 관람,자가용,6
e_e002184,30,1,2인 가족 여행,1,휴식,자가용,0
e_e002351,20,1,2인 여행(가족 외),1,단순 구경 / 산책 / 걷기,자가용,8
e_e008310,30,0,나홀로 여행,0,단순 구경 / 산책 / 걷기,지하철,0
e_e002071,20,0,나홀로 여행,0,단순 구경 / 산책 / 걷기,렌터카,5
e_e000491,40,2,3인 이상 여행(가족 외),1,휴식,자가용,3
e_e004294,30,4,자녀 동반 여행,0,없음,자가용,6
e_e006371,20,1,2인 여행(가족 외),0,단순 구경 / 산책 / 걷기,버스,5
e_e010689,20,1,2인 여행(가족 외),0,쇼핑 / 구매,지하철,5
e_e005518,30,1,2인 여행(가족 외),0,없음,자가용,0
e_e005915,30,0,나홀로 여행,0,단순 구경 / 산책 / 걷기,지하철,0
e_e005442,50,2,3인 이상 여행(가족 외),1,단순 구경 / 산책 / 걷기,자가용,3
e_e008069,20,2,3인 이상 여행(가족 외),0,체험 활동 / 입장 및 관람,자가용,5
e_e005863,40,6,3인 이상 여행(가족 외),1,쇼핑 / 구매,자가용,2
e_e005197,40,4,3인 이상 여행(가족 외),1,체험 활동 / 입장 및 관람,자가용,6
e_e008006,20,0,나홀로 여행,0,단순 구경 / 산책 / 걷기,택시,5
e_e007591,30,2,자녀 동반 여행,0,체험 활동 / 입장 및 관람,자가용,6
