TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
f000848,48,남,50,6,1.0,2,3,3,,4,7.0,2,2,27,27260,48,48720,26,26350,4,5,4,2,4,4,4,5,경상남도,부산,자녀 동반 여행,2023-05-20~2023-05-20,3,,,2
f015589,42,여,50,4,1.0,2,3,7,,1,5.0,3,2,28,28237,42,42150,44,44180,1,1,1,1,7,1,1,7,강원도,강원,자녀 동반 여행,2023-09-05~2023-09-05,3,2.0,1.0,1
f010338,27,남,20,5,1.0,1,3,3,,3,5.0,3,5,47,47110,26,26350,47,47130,2,2,2,3,4,4,6,6,대구광역시,경남,3인 이상 여행(가족 외),2023-09-02~2023-09-02,1,3.0,2.0,3
f005048,41,여,20,5,1.0,1,3,13,,1,12.0,3,2,42,42150,42,42830,26,26350,4,3,3,5,3,4,5,5,경기도,경북,나홀로 여행,2023-08-28~2023-08-29,1,4.0,7.0,0
f015471,41,여,20,6,1.0,1,1,3,,3,,3,4,26,26500,42,42150,50,50130,3,1,2,3,6,6,2,3,경기도,울산,3인 이상 여행(가족 외),2023-09-03~2023-09-03,2,5.0,4.0,9
f002480,11,여,30,7,1.0,2,2,3,,7,10.0,2,1,42,42230,48,48880,44,44825,2,6,7,2,3,3,2,7,서울특별시,강원,2인 여행(가족 외),2023-06-02~2023-06-03,2,3.0,5.0,1
f000663,11,남,50,6,1.0,2,4,2,,3,7.0,2,2,42,42210,31,31170,50,50110,2,2,2,6,6,3,6,3,서울특별시,울산,자녀 동반 여행,2023-06-03~2023-06-06,3,2.0,10.0,3
f001014,48,여,40,6,1.0,1,2,13,,4,8.0,2,2,26,26350,48,48850,50,50130,1,1,4,2,1,1,1,7,경상남도,부산,2인 여행(가족 외),2023-05-28~2023-05-29,2,,,1
f009115,26,남,50,5,1.0,4,3,2,,8,8.0,2,2,47,47130,48,48250,48,48120,4,5,4,3,2,4,5,4,부산광역시,경남,나홀로 여행,2023-08-20~2023-08-20,2,1.0,4.0,0
f013505,28,여,20,5,1.0,1,3,13,,2,6.0,3,5,26,26500,50,50110,42,42820,2,4,2,2,2,4,6,5,인천광역시,강원,2인 여행(가족 외),2023-08-31~2023-08-31,1,2.0,6.0,1
f004691,11,여,20,5,1.0,1,2,3,,5,10.0,3,3,50,50110,42,42750,47,47130,4,2,2,4,4,4,5,5,서울특별시,경북,나홀로 여행,2023-07-20~2023-07-21,1,7.0,5.0,0
f002920,27,여,30,6,1.0,2,3,3,,4,8.0,2,2,26,26350,31,31170,47,47720,6,5,6,2,1,6,6,7,대구광역시,울산,자녀 동반 여행,2023-06-06~2023-06-06,3,7.0,8.0,2
