TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION,TRAVEL_MISSION_CHECK
g_g002085,H02,g002085,11;3;6,2023-06-10,2023-06-12,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/자녀동반/일반미션",11;3;6,3;6;11
g_g002173,H02,g002173,23;4,2023-06-16,2023-06-18,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/40세 이상/특별미션",23;4,4;9;21
g_g002250,H02,g002250,21;22;24;4,2023-06-22,2023-06-23,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/자녀동반/일반미션",21;22;24;4,22;21;24
g_g002267,H02,g002267,12;2;6;9,2023-06-10,2023-06-12,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/부부/일반미션",12;2;6;9,9;11;12
g_g002282,H02,g002282,21;22;26;4;7,2023-07-01,2023-07-03,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",21;22;26;4;7,22;21;26
g_g002575,H02,g002575,23;4;7,2023-06-21,2023-06-23,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",23;4;7,23;4;7
g_g002706,H02,g002706,12;22;23;3,2023-07-01,2023-07-03,자가용,"제주,도서지역 방문/거주지 구분 없음/40세 이상/자녀동반/일반미션",12;22;23;3,3;12;23
g_g003178,H02,g003178,1;11;21;22;24,2023-06-24,2023-06-26,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/3인 이상 친구/일반미션",1;11;21;22;24,5;8;11
g_g003253,H02,g003253,23;27;1;2;7,2023-07-01,2023-07-03,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",23;27;1;2;7,1;28;3
g_g003260,H02,g003260,1;12;3;6,2023-06-24,2023-06-26,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/부부/일반미션",1;12;3;6,6;3;12
